die	Maus	Mäuse	mouse	6
der	Computer	Computer	computer	6
das	Notizbuch	Notizbücher	notebook	6
der	Kalender	Kalender	calendar	6
der	Bildschirm	Bildschirme	screen	6
der	Stift	Stifte	pen	6
das	Foto	Fotos	photo	6
der	Gruß	Grüße	greeting	6
der	See	Seen	lake	6
die	Telefonnummer	Telefonnumern	phone number	6
der	Arbeitsplatz	Arbeitsplätze	workplace	6
der	Chef	Chefs	boss	6
die	Firma	Firmen	company	6
das	Papier	Papiere	paper	
der	Termin	Termine	meeting	6
der	Ausflug	Ausflüge	excursion/trip	7
der	Film	Filme	movie/film	7
das	Gespräch	Gespräche	conversation	7
das	Kino	Kinos	movie theater	7
das	Konzert	Konzerte	concert	8
das	Museum	Museen	museum	8
das	Theater	Theater	theatre	8
das	Restaurant	Restaurants	restaurant	8
das	Schwimmbad	Schwimmbäder	swimming pool	8
das	Café	Cafés	Cafeteria	8
die	Kneipe	Kneipen	pub	8
die	Bar	Bars	bar	8
die	Ausstellung	Ausstellungen	exhibition	8
die	Disco	Discos	disco	8
die	Uhr	Uhren	clock	8
der	Morgen	Morgen	morning	8
der	Abend	Abende	evening	8
die	Nacht	Nächte	night	8
der	Vormittag	Vormittage	morning	8
der	Mittag	Mittage	noon	8
der	Nachmittag	Nachmittage	afternoon	8
der	Tag	Tage	day	8
die	Woche	Wochen	week	8
der	Montag	Montage	Monday	8
der	Dienstag	Dienstage	Tuesday	8
der	Mittwoch	Mittwoche	Wednesday	8
der	Donnerstag	Donnerstage	Thursday	8
der	Freitag	Freitage	Friday	8
der	Samstag	Samstage	Saturday	8
der	Sonntag	Sonntage	Sunday	8
das	Essen	Essen	food	8
das	Radio	Radios	radio	8
das	Büro	Büros	office	6
das	Auto	Autos	car	7
der	Stapel	Stapel	stack/pile	
die	Freizeit	Freizeiten	leisure/free time	
das	Hobby	Hobbys	hobby	7
der	Apfel	Äpfel	apple	9
der	Braten	Braten	roast meat	9
das	Brötchen	Brötchen	bun/bread roll/sandwich	9
das	Brot	Brot	bread	9
das	Ei	Eier	egg	9
der	Fisch	Fische	fish	9
die	Kartoffel	Kartoffeln	potato	9
die	Orange	Orangen	orange	9
der	Salat	Salate	salad	9
die	Schokolade	Schokoladen	chocolate	9
die	Suppe	Suppen	soup	9
der	Tee	Tees	tea	9
die	Tomate	Tomaten	tomato	9
die	Wurst	Würste	sausage	9
die	Zitrone	Zitronen	lemon	9
die	Zwiebel	Zwiebeln	onion	9
das	Frühstück	Frühstücke	breakfast	9
der	Kühlschrank	Kühlschränke	fridge	9
die	Einladung	Einlandungen	invitation	9
die	Speisekarte	Speisekarten	menu	9
das	Wochenende	Wochenenden	weekend	9
der	Bahnhof	Bahnhöfe	railway station	10
der	Bahnsteig	Bahnsteige	platform	10
der	Bus	Busse	bus	10
der	Halt	Halte/Halts	stop	10
die	Haltestelle	Haltestellen	bus stop	10
der	Flughafen	Flughäfen	airport	10
das	Flugzeug	Flugzeuge	plane/airplane	10
das	Gleis	Gleise	track	10
der	Koffer	Koffer	suitcase	10
die	S-Bahn	S-Bahnen	train	10
die	Straßenbahn/Tram	Straßenbahnen/Trams	tram	10
das	Taxi	Taxis	taxi	10
die	U-Bahn	U-Bahnen	subway	10
das	Verkehrsmittel	Verkehrsmittel	means of transport	10
der	Zug	Züge	train	10
die	Minute	Minuten	minute	10
die	Arbeit	Arbeiten	job	11
die	Hausaufgabe	Hausaufgaben	homework	11
die	Pause	Pausen	break	11
das	Baby	Babys	baby	11
das	Fahrrad/Rad	Fahrräder/Räder	bicycle	11
das	Geschenk	Geschenke	gift	11
der	Monat	Monate	month	11
das	Paar	Paare	pair	11
die	Party	Partys	party	11
die	Reise	Reisen	travel	11
der	Wein	Weine	wine	11
der	Frühling	Frühlinge	spring	12
der	Sommer	Sommer	summer	12
der	Herbst	Herbste	autumn	12
der	Winter	Winter	winter	12
der	Januar	Januare	January	12
der	Februar	Februare	February	12
der	März	Märze	March	12
der	Apri	Aprile	Apri	12
der	Mai	Maie	May	12
der	Juni	Junis	June	12
der	Juli	Julis	July	12
der	August	Auguste	August	12
der	September	September	September	12
der	Oktober	Oktober	October	12
der	November	November	November	12
der	Dezember	Dezember	December	12
das	Fest	Feste	party	12
die	Hochzeit	Hochzeiten	wedding	12
das	Neujahr	Neujahre	New Year	12
das	Silvester	Silvester	New Year's Eve	12
das	Bier	Biere	beer	12
die	Person	Personen	person	12
